IP:0, Command: Acc +18
IP:1, Command: Nop +222
IP:2, Command: Acc -16
IP:3, Command: Acc +28
IP:4, Command: Jmp +475
IP:479, Command: Acc -1
IP:480, Command: Acc -10
IP:481, Command: Jmp -208
IP:273, Command: Acc +6
IP:274, Command: Jmp +135
IP:409, Command: Acc +23
IP:410, Command: Acc +49
IP:411, Command: Acc +31
IP:412, Command: Nop -139
IP:413, Command: Jmp -272
IP:141, Command: Acc -14
IP:142, Command: Acc +8
IP:143, Command: Acc +47
IP:144, Command: Jmp +271
IP:415, Command: Acc +26
IP:416, Command: Acc -8
IP:417, Command: Jmp +173
IP:590, Command: Nop -539
IP:591, Command: Jmp -416
IP:175, Command: Acc -8
IP:176, Command: Acc +8
IP:177, Command: Acc +22
IP:178, Command: Jmp -146
IP:32, Command: Acc +24
IP:33, Command: Jmp +131
IP:164, Command: Jmp +364
IP:528, Command: Acc +32
IP:529, Command: Jmp -339
IP:190, Command: Acc +41
IP:191, Command: Nop +254
IP:192, Command: Acc +28
IP:193, Command: Jmp +269
IP:462, Command: Jmp -332
IP:130, Command: Acc +24
IP:131, Command: Acc +39
IP:132, Command: Jmp +363
IP:495, Command: Acc -16
IP:496, Command: Acc -1
IP:497, Command: Acc +7
IP:498, Command: Acc +39
IP:499, Command: Jmp -119
IP:380, Command: Acc -19
IP:381, Command: Jmp -38
IP:343, Command: Acc +0
IP:344, Command: Acc +8
IP:345, Command: Jmp -243
IP:102, Command: Acc -9
IP:103, Command: Acc +6
IP:104, Command: Acc -2
IP:105, Command: Acc +33
IP:106, Command: Jmp +385
IP:491, Command: Nop -287
IP:492, Command: Acc -3
IP:493, Command: Jmp -42
IP:451, Command: Acc +32
IP:452, Command: Acc +33
IP:453, Command: Acc +42
IP:454, Command: Acc +6
IP:455, Command: Jmp -366
IP:89, Command: Acc +17
IP:90, Command: Acc +16
IP:91, Command: Acc +12
IP:92, Command: Acc +43
IP:93, Command: Jmp +168
IP:261, Command: Acc +42
IP:262, Command: Acc -5
IP:263, Command: Acc -14
IP:264, Command: Jmp -84
IP:180, Command: Acc +27
IP:181, Command: Nop +191
IP:182, Command: Acc +49
IP:183, Command: Jmp +331
IP:514, Command: Acc -15
IP:515, Command: Acc +48
IP:516, Command: Jmp +1
IP:517, Command: Nop -383
IP:518, Command: Jmp -365
IP:153, Command: Acc +25
IP:154, Command: Jmp +238
IP:392, Command: Acc +12
IP:393, Command: Acc +46
IP:394, Command: Jmp +127
IP:521, Command: Acc +23
IP:522, Command: Jmp -235
IP:287, Command: Acc -4
IP:288, Command: Acc +33
IP:289, Command: Acc +28
IP:290, Command: Jmp -50
IP:240, Command: Acc +36
IP:241, Command: Jmp -194
IP:47, Command: Acc +3
IP:48, Command: Nop +517
IP:49, Command: Jmp +221
IP:270, Command: Jmp +170
IP:440, Command: Acc +24
IP:441, Command: Jmp +122
IP:563, Command: Jmp -97
IP:466, Command: Acc +27
IP:467, Command: Acc -4
IP:468, Command: Acc +3
IP:469, Command: Jmp +96
IP:565, Command: Acc +2
IP:566, Command: Jmp -27
IP:539, Command: Acc -8
IP:540, Command: Acc -9
IP:541, Command: Jmp -229
IP:312, Command: Jmp +1
IP:313, Command: Acc +42
IP:314, Command: Acc +34
IP:315, Command: Acc +22
IP:316, Command: Jmp +231
IP:547, Command: Acc -11
IP:548, Command: Nop -69
IP:549, Command: Jmp +3
IP:552, Command: Jmp -301
IP:251, Command: Jmp -117
IP:134, Command: Acc -14
IP:135, Command: Acc +0
IP:136, Command: Acc +22
IP:137, Command: Jmp +118
IP:255, Command: Acc +25
IP:256, Command: Acc +16
IP:257, Command: Acc +40
IP:258, Command: Nop +122
IP:259, Command: Jmp +140
IP:399, Command: Acc -10
IP:400, Command: Jmp -374
IP:26, Command: Acc +36
IP:27, Command: Jmp +133
IP:160, Command: Acc +34
IP:161, Command: Jmp +346
IP:507, Command: Acc +2
IP:508, Command: Acc +38
IP:509, Command: Acc +12
IP:510, Command: Jmp -84
IP:426, Command: Acc +4
IP:427, Command: Jmp -389
IP:38, Command: Acc +37
IP:39, Command: Acc -6
IP:40, Command: Nop +558
IP:41, Command: Acc +31
IP:42, Command: Jmp +124
IP:166, Command: Acc +13
IP:167, Command: Jmp +1
IP:168, Command: Acc +33
IP:169, Command: Jmp +408
IP:577, Command: Acc +4
IP:578, Command: Nop +6
IP:579, Command: Jmp -384
IP:195, Command: Acc +10
IP:196, Command: Nop +131
IP:197, Command: Acc +3
IP:198, Command: Jmp -40
IP:158, Command: Jmp +68
IP:226, Command: Acc +8
IP:227, Command: Acc -17
IP:228, Command: Jmp +174
IP:402, Command: Acc +43
IP:403, Command: Nop +42
IP:404, Command: Acc +19
IP:405, Command: Jmp -232
IP:173, Command: Jmp +106
IP:279, Command: Acc -1
IP:280, Command: Nop -46
IP:281, Command: Nop -58
IP:282, Command: Nop -59
IP:283, Command: Jmp +202
IP:485, Command: Acc -12
IP:486, Command: Acc +49
IP:487, Command: Nop -137
IP:488, Command: Jmp -430
IP:58, Command: Jmp +1
IP:59, Command: Nop +333
IP:60, Command: Acc -2
IP:61, Command: Acc -5
IP:62, Command: Jmp +138
IP:200, Command: Acc +47
IP:201, Command: Jmp -91
IP:110, Command: Acc -5
IP:111, Command: Acc +23
IP:112, Command: Acc +6
IP:113, Command: Jmp +98
IP:211, Command: Acc +9
IP:212, Command: Jmp +1
IP:213, Command: Jmp +144
IP:357, Command: Jmp +29
IP:386, Command: Jmp -240
IP:146, Command: Acc +33
IP:147, Command: Acc +15
IP:148, Command: Acc +20
IP:149, Command: Acc +25
IP:150, Command: Jmp +84
IP:234, Command: Acc +50
IP:235, Command: Nop +52
IP:236, Command: Nop +98
IP:237, Command: Jmp -142
IP:95, Command: Acc +6
IP:96, Command: Acc +6
IP:97, Command: Jmp +271
IP:368, Command: Jmp +41
